fileName,modelIsValidBPMN,modelTNT,modelTNCS,modelTNA,modelTNDO,modelTNG,modelTNEE,modelTNIE,modelTNSE,modelTNE,modelTNSF,modelNP,modelNL,modelCLA,modelCLP,modelPDOPin,modelPDOPout,modelPDOTOut,modelPLT,tapeGU,tapeALU,tapeRLU,tapeLUB,tapeAvgLUB,tapeDI,tapeDD,tapeAvgDI,tapeAvgDD,tapeMI,tapeMD,tapeAvgMI,tapeAvgMD,tapeExecutionTimeMs
05323.bpmn,false,14,0,0,2,1,3,0,0,1,16,1,2,0,2,1,0,0,0,152,152,1,0,0,0,0,0,0,1,1,1,1,16.65941800014116
05324.bpmn,false,4,0,0,0,1,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,18.25503799994476
05325.bpmn,false,4,0,0,0,1,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,9.764448000118136
05326.bpmn,false,13,0,0,0,3,3,0,0,1,19,1,2,0,4,0,0,0,0,163,163,1,0,0,0,0,0,0,1,1,1,1,29.318236999912187
05327.bpmn,false,8,0,0,0,1,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,7.950646999990568
05328.bpmn,false,6,0,0,0,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,9.368433999828994
05329.bpmn,true,1,0,7,0,0,2,0,0,1,9,0,0,0.7777777777777778,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,8.225187999894843
05330.bpmn,false,5,0,0,0,0,1,0,0,1,9,2,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,7.9017439999151975
05331.bpmn,false,5,0,0,3,0,1,0,0,1,5,1,0,0,0,0.3333333333333333,0.6666666666666666,0.4,0,0,0,,,0,,,0,0,,,0,0,10.990471999859437
05332.bpmn,false,8,0,0,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,36.801923000020906
05333.bpmn,false,2,0,1,0,0,2,1,1,1,5,1,0,0.2,1,0,0,0,0,43,43,1,0,0,0,0,0,0,1,1,1,1,9.150020000059158
05334.bpmn,false,1,0,7,0,0,1,6,6,1,10,1,0,0.7,5,0,0,0,0,76,76,1,0,0,0,0,0,0,1,1,1,1,20.163692999863997
05335.bpmn,false,9,0,0,1,2,2,3,3,2,18,2,3,0,3,0,1,0.1111111111111111,0,123,61.5,"0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756",2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,26.21509899990633
05336.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,27.43185400008224
05337.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,15.810196000151336
05338.bpmn,false,17,0,0,3,9,4,0,0,3,37,3,2,0,0.3333333333333333,0.6666666666666666,0,0,0,267,89,"0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348",3.700743415417188e-17,"0,0,0","0,0,0",0,0,"0,1,0","0,0,1",0.3333333333333333,0.3333333333333333,42.201864999951795
05339.bpmn,false,9,0,0,1,2,2,3,3,2,18,2,3,0,3,0,1,0.1111111111111111,0,123,61.5,"0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756",2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,25.26107899984345
05340.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,55.852069000015035
05341.bpmn,false,8,0,0,0,0,2,0,0,2,10,2,0,0,2,0,0,0,0,94,47,"0.5,0.5","0,0",0,"0,0","0,0",0,0,"1,1","1,1",1,1,9.88737600017339
05342.bpmn,false,9,0,0,1,2,2,3,3,2,18,2,3,0,3,0,1,0.1111111111111111,0,123,61.5,"0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756",2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,38.73304699989967
