"fileName","modelIsValidBPMN","applicationDomain","modelTNT","modelTNCS","modelTNA","modelTNDO","modelTNG","modelTNEE","modelTNIE","modelTNSE","modelTNE","modelTNSF","modelNP","modelNL","modelCLA","modelCLP","modelPDOPin","modelPDOPout","modelPDOTOut","modelPLT","tapeGU","tapeALU","tapeRLU","tapeLUB","tapeAvgLUB","tapeDI","tapeDD","tapeAvgDI","tapeAvgDD","tapeMI","tapeMD","tapeAvgMI","tapeAvgMD","tapeExecutionTimeMs","endEventRequiredErrors","startEventRequiredErrors","fakeJoinErrors","noDisconnectedErrors","superfluousGatewayErrors","subProcessBlankStartEventErrors","noGatewayJoinForkErrors","noImplicitSplitErrors","noInclusiveGatewayErrors","conditionalFlowErrors"
"00000.bpmn","false","","9","0","10","0","2","2","0","0","2","17","1","2","0.5882352941176471","0","0","0","0","0.2","0","0","","","0","","","0","0","","","0","0","36.69778000000042","0","0","2","0","0","0","0","0","0","0"
"00001.bpmn","false","","7","0","7","0","0","0","0","0","1","11","0","0","0.6363636363636364","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","13.456605999999738","1","0","3","0","0","0","0","2","0","0"
"00002.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","47.239320000000134","0","0","1","0","0","0","1","0","0","0"
"00003.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","44.06275700000015","0","0","4","0","0","0","0","0","0","5"
"00004.bpmn","false","","7","0","7","0","4","1","6","6","2","19","2","4","0.3684210526315789","0","0","0","0","0.5714285714285714","0","0","","","0","","","0","0","","","0","0","44.38814100000036","1","0","0","0","2","0","0","0","0","0"
"00005.bpmn","true","Customer Service","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","46.12149400000044","0","0","3","0","0","0","0","0","0","0"
"00006.bpmn","false","","6","0","6","3","2","1","2","2","2","13","0","2","0.46153846153846156","0","0","1","0.5","0.3333333333333333","0","0","","","0","","","0","0","","","0","0","16.338299000000006","0","0","2","0","0","0","0","1","0","0"
"00007.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","43.88751599999978","0","0","4","0","0","0","0","0","0","5"
"00008.bpmn","false","","7","0","7","0","4","2","4","4","1","17","2","0","0.4117647058823529","1","0","0","0","0","121","60.5","0.6694214876033058,0.3305785123966942","0.16942148760330578,-0.16942148760330578","0","0,0","0,0","0","0","1,1","1,1","1","1","15.336922999999842","1","1","0","0","0","0","1","0","0","0"
"00009.bpmn","false","","5","0","6","2","1","2","0","0","1","7","0","1","0.8571428571428571","0","0.5","0.5","0.2","0.16666666666666666","0","0","","","0","","","0","0","","","0","0","9.945224000000053","0","0","0","0","0","0","0","1","0","0"
"00010.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","23.348880000000463","0","0","1","0","0","0","1","0","0","0"
"00011.bpmn","false","","4","0","4","0","1","2","0","0","1","7","0","0","0.5714285714285714","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","8.505850000000464","0","0","0","0","0","0","0","0","0","0"
"00012.bpmn","false","","4","0","4","0","0","1","0","0","1","5","0","0","0.8","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","4.673117999999704","0","0","0","0","0","0","0","0","0","0"
"00013.bpmn","true","Tourism","11","0","11","0","2","2","3","3","2","20","2","0","0.55","4","0","0","0","0","0","0","","","0","","","0","0","","","0","0","22.8193569999994","0","0","2","0","0","0","0","0","0","0"
"00014.bpmn","true","Tourism","11","0","11","0","2","3","4","4","2","21","2","0","0.5238095238095238","3","0","0","0","0","163","81.5","0.4049079754601227,0.5950920245398773","-0.0950920245398773,0.0950920245398773","0","0,0","0,0","0","0","1,1","1,1","1","1","35.12495899999976","0","0","1","0","0","0","0","0","0","0"
"00015.bpmn","false","","10","0","10","0","4","6","8","8","5","31","3","1","0.3225806451612903","2","0","0","0","0.1","225","75","0.4533333333333333,0.1111111111111111,0.43555555555555553","0.12,-0.2222222222222222,0.10222222222222221","0","0,0,0","0,0,0","0","0","1,1,1","1,0,2","1","1","41.4476139999997","0","0","3","0","0","0","0","0","0","2"
"00016.bpmn","false","","4","0","4","0","1","2","0","0","1","7","0","0","0.5714285714285714","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","6.9152879999992365","0","0","0","0","0","0","0","0","0","0"
"00017.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","20.225651000000653","0","0","1","0","0","0","1","0","0","0"
"00018.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","30.96054599999934","0","0","3","0","0","0","0","0","0","0"
"00019.bpmn","false","","16","0","16","0","5","0","1","1","1","28","0","5","0.5714285714285714","0","0","0","0","0.3125","0","0","","","0","","","0","0","","","0","0","33.67452299999968","1","0","3","0","0","0","2","0","0","0"
"00020.bpmn","false","","23","0","23","0","6","0","3","3","0","39","0","4","0.5897435897435898","0","0","0","0","0.17391304347826086","0","0","","","0","","","0","0","","","0","0","47.546628999999484","1","1","6","0","0","0","1","4","0","0"
"00021.bpmn","false","","17","0","17","0","8","1","1","1","1","34","0","3","0.5","0","0","0","0","0.17647058823529413","0","0","","","0","","","0","0","","","0","0","42.909317999999985","0","0","5","0","0","0","1","0","0","0"
"00022.bpmn","false","","16","0","16","0","6","0","1","1","1","29","0","4","0.5517241379310345","0","0","0","0","0.25","0","0","","","0","","","0","0","","","0","0","30.51719099999991","1","0","1","0","0","0","4","0","0","0"
"00023.bpmn","false","","9","0","10","0","2","2","0","0","2","17","1","2","0.5882352941176471","0","0","0","0","0.2","0","0","","","0","","","0","0","","","0","0","15.831576000000496","0","0","2","0","0","0","0","0","0","0"
"00024.bpmn","false","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","0.94200599999931","1","1","0","0","0","0","0","0","0","0"
"00025.bpmn","true","","6","0","6","1","2","1","0","0","1","11","0","0","0.5454545454545454","0","0","1","0.16666666666666666","0","0","0","","","0","","","0","0","","","0","0","9.244904000000133","0","0","1","0","0","0","0","0","0","0"
"00026.bpmn","true","","4","0","4","0","1","1","0","0","1","7","0","0","0.5714285714285714","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","11.63859500000035","0","0","1","0","0","0","0","0","0","0"
"00027.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","36.643889999999374","0","0","4","0","0","0","0","0","0","5"
"00028.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","19.20121300000028","0","0","1","0","0","0","1","0","0","0"
"00029.bpmn","true","","7","0","7","1","4","1","0","0","1","15","0","0","0.4666666666666667","0","0","1","0.14285714285714285","0","0","0","","","0","","","0","0","","","0","0","12.03109399999994","0","0","1","0","0","0","0","0","0","0"
"00030.bpmn","false","","8","0","8","0","5","1","6","6","1","25","0","0","0.32","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","22.18611299999975","0","0","0","0","0","0","0","0","0","0"
"00031.bpmn","true","","5","0","5","1","1","1","0","0","1","8","1","4","0.625","0","0","1","0.2","0.8","0","0","","","0","","","0","0","","","0","0","9.447661000000153","0","0","1","0","0","0","0","0","0","0"
"00032.bpmn","false","","9","0","9","4","1","1","0","0","1","11","1","3","0.8181818181818182","0","0","1","0.4444444444444444","0.3333333333333333","0","0","","","0","","","0","0","","","0","0","10.388310999998794","0","0","0","0","0","0","0","0","0","0"
"00033.bpmn","true","","9","0","9","0","1","1","0","0","1","12","1","3","0.75","0","0","0","0","0.3333333333333333","0","0","","","0","","","0","0","","","0","0","11.153066999999282","0","0","1","0","0","0","0","0","0","0"
"00034.bpmn","true","","12","0","12","0","3","4","3","3","1","22","1","2","0.5454545454545454","1","0","0","0","0.16666666666666666","156","156","1","0","0","0","0","0","0","1","1","1","1","25.772219000000405","0","0","1","0","0","0","0","0","0","0"
"00035.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","23.0401520000014","0","0","3","0","0","0","0","0","0","0"
"00036.bpmn","false","","0","0","5","0","0","3","28","28","4","37","5","0","0.13513513513513514","1","0","0","0","0","251","50.2","0.4581673306772908,0,0.16733067729083664,0.01593625498007968,0.35856573705179284","0.2581673306772908,-0.2,-0.03266932270916337,-0.18406374501992034,0.15856573705179283","-0.000000000000000016653345369377347","0,0,0,0,0","0,0,0,0,0","0","0","1,0,0,0,0","0,1,0,0,0","0.2","0.2","35.787137999999686","3","1","5","1","0","0","0","7","0","0"
"00037.bpmn","false","","13","0","13","0","4","5","0","0","1","25","1","5","0.52","0","0","0","0","0.38461538461538464","0","0","","","0","","","0","0","","","0","0","20.884970000000976","0","0","2","0","0","0","0","1","1","0"
"00038.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","28.452133000000686","0","0","3","0","0","0","0","0","0","0"
"00039.bpmn","false","","7","0","7","13","2","0","2","2","1","9","3","3","0.7777777777777778","6.666666666666667","0.3076923076923077","0.6923076923076923","1.2857142857142858","0.42857142857142855","0","0","","","0","","","0","0","","","0","0","21.40890500000023","3","2","0","2","0","0","0","0","0","0"
"00040.bpmn","false","","19","0","19","0","0","0","0","0","1","18","1","5","1.0555555555555556","0","0","0","0","0.2631578947368421","0","0","","","0","","","0","0","","","0","0","22.41233900000043","1","0","0","0","0","0","0","0","0","0"
"00041.bpmn","false","","3","0","3","0","0","1","1","1","1","5","0","0","0.6","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","8.759554000000207","0","0","0","0","0","0","0","0","0","0"
"00042.bpmn","false","","13","0","14","0","2","2","0","0","2","17","1","4","0.8235294117647058","0","0","0","0","0.2857142857142857","0","0","","","0","","","0","0","","","0","0","17.036127000001215","0","0","2","4","0","0","0","0","0","0"
"00043.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","20.28639800000019","0","0","1","0","0","0","1","0","0","0"
"00044.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","23.35700999999972","0","0","1","0","0","0","1","0","0","0"
"00045.bpmn","true","","13","0","13","0","1","1","0","0","1","16","1","3","0.8125","0","0","0","0","0.23076923076923078","0","0","","","0","","","0","0","","","0","0","16.59516799999983","0","0","1","0","0","0","0","0","0","0"
"00046.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","28.178713999999673","0","0","3","0","0","0","0","0","0","0"
"00047.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","28.071765999999116","0","0","3","0","0","0","0","0","0","0"
"00048.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","30.017127000000983","0","0","4","0","0","0","0","0","0","5"
"00049.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","26.953628999999637","0","0","3","0","0","0","0","0","0","0"
"00050.bpmn","true","","9","0","9","0","1","1","0","0","1","12","1","3","0.75","0","0","0","0","0.3333333333333333","0","0","","","0","","","0","0","","","0","0","11.793150000001333","0","0","1","0","0","0","0","0","0","0"
"00051.bpmn","false","","14","0","14","0","3","1","0","0","1","21","1","3","0.6666666666666666","0","0","0","0","0.21428571428571427","0","0","","","0","","","0","0","","","0","0","15.50578300000052","0","0","2","0","0","0","1","0","0","0"
"00052.bpmn","true","","9","0","9","0","2","1","0","0","1","14","1","3","0.6428571428571429","0","0","0","0","0.3333333333333333","0","0","","","0","","","0","0","","","0","0","19.444127999999182","0","0","2","0","0","0","0","0","0","0"
"00053.bpmn","false","","14","0","14","0","4","1","0","0","1","17","2","0","0.8235294117647058","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","18.20057900000029","1","1","1","3","0","0","1","0","0","0"
"00054.bpmn","false","","2","0","2","6","1","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","","","0","","","0","0","","","0","0","4.0718419999993785","1","1","0","3","0","0","0","0","0","0"
"00055.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","23.56138600000122","0","0","3","0","0","0","0","0","0","0"
"00056.bpmn","false","","6","0","6","0","2","1","1","1","1","12","1","3","0.5","0","0","0","0","0.5","0","0","","","0","","","0","0","","","0","0","16.17059899999913","0","0","2","0","0","0","1","0","0","0"
"00057.bpmn","true","","7","0","7","1","1","1","0","0","1","10","1","2","0.7","0","0","1","0.14285714285714285","0.2857142857142857","0","0","","","0","","","0","0","","","0","0","11.032429000000775","0","0","1","0","0","0","0","0","0","0"
"00058.bpmn","false","","5","0","5","0","3","0","0","0","3","8","4","1","0.625","0.5","0","0","0","0.2","72","18","0.1111111111111111,0.2777777777777778,0.5138888888888888,0.09722222222222222","-0.1388888888888889,0.02777777777777779,0.26388888888888884,-0.1527777777777778","-0.000000000000000013877787807814457","0,0,0,0","0,0,0,0","0","0","2,0,0,0","0,1,1,0","0.5","0.5","9.426135000001523","4","2","0","2","2","0","0","0","0","0"
"00059.bpmn","false","","5","0","5","0","3","0","0","0","3","8","4","1","0.625","0.5","0","0","0","0.2","72","18","0.1111111111111111,0.2777777777777778,0.5138888888888888,0.09722222222222222","-0.1388888888888889,0.02777777777777779,0.26388888888888884,-0.1527777777777778","-0.000000000000000013877787807814457","0,0,0,0","0,0,0,0","0","0","2,0,0,0","0,1,1,0","0.5","0.5","8.763327000000572","4","2","0","2","2","0","0","0","0","0"
"00060.bpmn","true","","9","0","9","1","3","2","0","0","1","15","1","4","0.6","0","0","1","0.1111111111111111","0.4444444444444444","0","0","","","0","","","0","0","","","0","0","12.21322599999985","0","0","1","0","1","0","0","0","0","0"
"00061.bpmn","false","","4","0","4","0","0","3","6","6","1","13","0","0","0.3076923076923077","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","10.929626000001008","0","0","0","0","0","0","0","6","0","0"
"00062.bpmn","false","","3","0","3","4","0","5","4","4","1","12","0","0","0.25","0","0","1","1.3333333333333333","0","0","0","","","0","","","0","0","","","0","0","10.524987000000692","0","0","0","0","0","0","0","4","0","0"
"00063.bpmn","false","","3","0","3","4","0","4","4","4","1","12","0","0","0.25","0","0","1","1.3333333333333333","0","0","0","","","0","","","0","0","","","0","0","9.957201999999597","0","0","1","0","0","0","0","4","0","0"
"00064.bpmn","false","","5","0","5","0","0","0","1","1","1","7","0","0","0.7142857142857143","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","5.79901400000017","1","0","1","0","0","0","0","1","0","0"
"00065.bpmn","false","","10","0","10","0","0","0","0","0","0","7","0","0","1.4285714285714286","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","6.667754000000059","1","1","0","0","0","0","0","2","0","0"
"00066.bpmn","false","","3","0","3","4","0","4","4","4","1","12","0","0","0.25","0","0","1","1.3333333333333333","0","0","0","","","0","","","0","0","","","0","0","10.068520999999237","0","0","1","0","0","0","0","4","0","0"
"00067.bpmn","false","","8","0","8","2","0","1","0","0","1","9","2","0","0.8888888888888888","0","1","0","0","0","0","0","","","0","","","0","0","","","0","0","9.303735999998025","1","1","0","0","0","0","0","0","0","0"
"00068.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","21.273721000001387","0","0","3","0","0","0","0","0","0","0"
"00069.bpmn","true","","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","35.78579600000012","0","0","3","0","0","0","0","0","0","0"
"00070.bpmn","false","","8","0","11","0","6","3","6","6","1","20","1","3","0.55","0","0","0","0","0.2727272727272727","0","0","","","0","","","0","0","","","0","0","19.447432000000845","0","0","1","6","3","0","0","0","0","0"
"00071.bpmn","false","","8","0","11","0","6","3","6","6","1","20","1","3","0.55","0","0","0","0","0.2727272727272727","0","0","","","0","","","0","0","","","0","0","20.729190000001836","0","0","1","6","3","0","0","0","0","0"
"00072.bpmn","false","","24","0","24","1","0","0","0","0","0","23","1","0","1.0434782608695652","0","0","1","0.041666666666666664","0","0","0","","","0","","","0","0","","","0","0","17.68410899999799","1","1","0","0","0","0","0","7","0","0"
"00073.bpmn","false","","6","0","6","2","0","1","0","0","1","7","2","0","0.8571428571428571","0","1","0","0","0","0","0","","","0","","","0","0","","","0","0","6.9860850000004575","1","1","0","0","0","0","0","0","0","0"
"00074.bpmn","false","","2","0","2","0","0","0","0","0","1","2","2","0","1","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","3.1705089999995835","2","1","0","0","0","0","0","0","0","0"
"00075.bpmn","false","","3","0","3","0","0","1","0","0","1","4","0","2","0.75","0","0","0","0","0.6666666666666666","0","0","","","0","","","0","0","","","0","0","4.263784999999189","0","0","0","0","0","0","0","0","0","0"
"00076.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","22.270628000002034","0","0","1","0","0","0","1","0","0","0"
"00077.bpmn","false","","4","0","4","0","1","2","0","0","1","7","0","0","0.5714285714285714","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","6.465986999999586","0","0","0","0","0","0","0","0","0","0"
"00078.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","33.039084","0","0","4","0","0","0","0","0","0","5"
"00079.bpmn","false","E-Commerce","12","0","12","1","9","5","7","7","4","37","3","3","0.32432432432432434","2.3333333333333335","0","0","0","0.25","260","86.66666666666667","0.5307692307692308,0.3730769230769231,0.09615384615384616","0.19743589743589746,0.03974358974358977,-0.23717948717948717","0.00000000000000001850371707708594","0,0,0","0,0,0","0","0","2,1,1","2,1,1","1.3333333333333333","1.3333333333333333","42.45658199999889","0","0","0","0","0","0","0","0","0","0"
"00080.bpmn","false","","12","0","12","1","9","5","7","7","4","37","3","3","0.32432432432432434","2.3333333333333335","0","0","0","0.25","260","86.66666666666667","0.5307692307692308,0.3730769230769231,0.09615384615384616","0.19743589743589746,0.03974358974358977,-0.23717948717948717","0.00000000000000001850371707708594","0,0,0","0,0,0","0","0","2,1,1","2,1,1","1.3333333333333333","1.3333333333333333","40.04117199999746","0","0","0","0","0","0","0","0","0","0"
"00081.bpmn","false","","12","0","12","1","9","5","7","7","4","37","3","3","0.32432432432432434","2.3333333333333335","0","0","0","0.25","260","86.66666666666667","0.5307692307692308,0.3730769230769231,0.09615384615384616","0.19743589743589746,0.03974358974358977,-0.23717948717948717","0.00000000000000001850371707708594","0,0,0","0,0,0","0","0","2,1,1","2,1,1","1.3333333333333333","1.3333333333333333","41.45643199999904","0","0","0","0","0","0","0","0","0","0"
"00082.bpmn","false","","9","0","9","0","6","4","7","7","3","28","3","3","0.32142857142857145","2","0","0","0","0.3333333333333333","201","67","0.5970149253731343,0.27860696517412936,0.12437810945273632","0.26368159203980096,-0.05472636815920395,-0.208955223880597","0","0,0,0","0,0,0","0","0","2,1,1","2,1,1","1.3333333333333333","1.3333333333333333","40.582117999998445","1","0","0","0","0","0","0","0","0","0"
"00083.bpmn","false","","0","7","7","0","3","1","0","0","1","10","1","4","0.7","0","0","0","0","0.5714285714285714","0","0","","","0","","","0","0","","","0","0","13.054299999999785","7","7","0","3","0","0","0","0","0","0"
"00084.bpmn","false","","4","0","4","0","2","2","0","0","1","10","1","3","0.4","0","0","0","0","0.75","0","0","","","0","","","0","0","","","0","0","8.419351999997161","0","0","1","0","0","0","0","1","0","0"
"00085.bpmn","false","","11","0","11","0","2","5","0","0","1","20","1","4","0.55","0","0","0","0","0.36363636363636365","0","0","","","0","","","0","0","","","0","0","19.291768999999476","0","0","1","0","0","0","0","4","0","0"
"00086.bpmn","true","Customer Service","6","0","6","0","1","2","0","0","2","10","2","0","0.6","1","0","0","0","0","86","43","0.6627906976744186,0.3372093023255814","0.16279069767441856,-0.16279069767441862","-0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","8.943993000000773","0","0","1","0","0","0","0","0","0","0"
"00087.bpmn","false","","4","1","5","2","0","1","0","0","1","6","2","0","0.8333333333333334","0","1","0","0","0","0","0","","","0","","","0","0","","","0","0","6.882707000000664","2","2","0","0","0","0","0","0","0","0"
"00088.bpmn","false","","4","0","4","0","1","2","0","0","1","7","0","0","0.5714285714285714","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","8.807039000002987","0","0","0","0","0","0","0","0","0","0"
"00089.bpmn","false","","4","0","4","0","1","2","0","0","1","7","0","0","0.5714285714285714","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","7.209050000001298","0","0","0","0","0","0","0","0","0","0"
"00090.bpmn","false","","16","0","16","4","1","0","0","0","1","18","1","3","0.8888888888888888","0","0.5","0.5","0.125","0.1875","0","0","","","0","","","0","0","","","0","0","19.789459999999963","1","0","1","0","0","0","0","0","0","0"
"00091.bpmn","false","","5","0","5","0","4","3","1","1","1","14","0","0","0.35714285714285715","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","10.622446000001219","0","0","0","0","0","0","0","0","0","0"
"00092.bpmn","true","Customer Service","13","0","13","0","4","2","1","1","2","24","2","5","0.5416666666666666","1.5","0","0","0","0.38461538461538464","0","0","","","0","","","0","0","","","0","0","19.064472000001842","0","0","3","0","0","0","0","0","0","0"
"00093.bpmn","false","","4","0","4","0","1","0","0","0","0","4","1","2","1","0","0","0","0","0.5","0","0","","","0","","","0","0","","","0","0","5.649101000002702","1","1","0","0","0","0","0","0","0","0"
"00094.bpmn","false","","3","0","3","2","1","2","0","0","1","6","1","2","0.5","0","0.5","0.5","0.3333333333333333","0.6666666666666666","0","0","","","0","","","0","0","","","0","0","7.79497099999935","0","0","0","0","0","0","0","0","0","0"
"00095.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","21.56448900000032","0","0","1","0","0","0","1","0","0","0"
"00096.bpmn","false","","13","0","14","0","2","2","0","0","2","17","1","4","0.8235294117647058","0","0","0","0","0.2857142857142857","0","0","","","0","","","0","0","","","0","0","14.558379999998579","0","0","2","4","0","0","0","0","0","0"
"00097.bpmn","false","","6","0","6","14","0","0","0","0","0","1","0","0","6","0","0.7142857142857143","0.2857142857142857","0.6666666666666666","0","0","0","","","0","","","0","0","","","0","0","8.900477999999566","1","1","0","4","0","0","0","0","0","0"
