"fileName","modelIsValidBPMN","applicationDomain","modelTNT","modelTNCS","modelTNA","modelTNDO","modelTNG","modelTNEE","modelTNIE","modelTNSE","modelTNE","modelTNSF","modelNP","modelNL","modelCLA","modelCLP","modelPDOPin","modelPDOPout","modelPDOTOut","modelPLT","tapeGU","tapeALU","tapeRLU","tapeLUB","tapeAvgLUB","tapeDI","tapeDD","tapeAvgDI","tapeAvgDD","tapeMI","tapeMD","tapeAvgMI","tapeAvgMD","tapeExecutionTimeMs","endEventRequiredErrors","startEventRequiredErrors","fakeJoinErrors","noDisconnectedErrors","superfluousGatewayErrors","subProcessBlankStartEventErrors","noGatewayJoinForkErrors","noImplicitSplitErrors","noInclusiveGatewayErrors","conditionalFlowErrors"
"03274.bpmn","false","","8","0","8","0","0","2","0","0","2","10","2","0","0.8","2","0","0","0","0","94","47","0.5,0.5","0,0","0","0,0","0,0","0","0","1,1","1,1","1","1","9.77292000001762","0","0","0","0","0","0","0","0","0","0"
"03275.bpmn","false","","10","0","10","8","0","0","0","0","0","9","0","0","1.1111111111111112","0","0.75","0.25","0.2","0","0","0","","","0","","","0","0","","","0","0","13.562242000014521","1","1","1","3","0","0","0","3","0","0"
"03276.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","29.034428999992087","0","0","1","0","0","0","1","0","0","0"
"03277.bpmn","false","","15","0","15","0","0","1","0","0","1","23","0","0","0.6521739130434783","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","13.40982400008943","0","0","3","0","0","0","0","7","0","0"
"03278.bpmn","false","","8","2","10","3","5","0","1","1","1","19","2","4","0.5263157894736842","2","0","1","0.375","0.4","0","0","","","0","","","0","0","","","0","0","22.29389800003264","4","3","3","1","0","0","0","0","0","0"
"03279.bpmn","false","","9","0","9","0","2","5","0","0","4","17","0","0","0.5294117647058824","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","34.30242899991572","0","0","1","0","0","0","0","0","0","0"
"03280.bpmn","false","Manufacturing","5","0","5","0","0","2","1","1","2","8","2","0","0.625","0.5","0","0","0","0","70","35","0.35714285714285715,0.6428571428571429","-0.14285714285714285,0.1428571428571429","0.000000000000000027755575615628914","0,0","0,0","0","0","0,1","1,0","0.5","0.5","7.912073000101373","0","0","0","0","0","0","0","0","0","0"
"03281.bpmn","false","","8","0","8","0","0","2","0","0","2","10","3","0","0.8","1.3333333333333333","0","0","0","0","0","0","","","0","","","0","0","","","0","0","10.780151000013575","1","1","0","0","0","0","0","0","0","0"
"03282.bpmn","false","","7","0","8","0","6","1","0","0","1","18","1","3","0.4444444444444444","0","0","0","0","0.375","0","0","","","0","","","0","0","","","0","0","20.12102199997753","0","0","0","0","0","0","0","0","2","0"
"03283.bpmn","false","","2","4","8","2","0","1","0","0","1","12","0","0","0.6666666666666666","0","0.5","0.5","0.5","0","0","0","","","0","","","0","0","","","0","0","9.388846000074409","5","5","0","1","0","0","0","1","0","0"
"03284.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","24.89191700005904","0","0","1","0","0","0","1","0","0","0"
"03285.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","21.90796300000511","0","0","1","0","0","0","1","0","0","0"
