"fileName","modelIsValidBPMN","modelTNT","modelTNCS","modelTNA","modelTNDO","modelTNG","modelTNEE","modelTNIE","modelTNSE","modelTNE","modelTNSF","modelNP","modelNL","modelCLA","modelCLP","modelPDOPin","modelPDOPout","modelPDOTOut","modelPLT","tapeGU","tapeALU","tapeRLU","tapeLUB","tapeAvgLUB","tapeDI","tapeDD","tapeAvgDI","tapeAvgDD","tapeMI","tapeMD","tapeAvgMI","tapeAvgMD","tapeExecutionTimeMs","applicationDomain","endEventRequiredErrors","startEventRequiredErrors","fakeJoinErrors","noDisconnectedErrors","superfluousGatewayErrors","subProcessBlankStartEventErrors","noGatewayJoinForkErrors","noImplicitSplitErrors","noInclusiveGatewayErrors","conditionalFlowErrors"
"14_1596634929360_141915113323156.bpmn","False","3","0","3","0","1","1","0","0","2","6","1","3","0.5","0","0","0","0","1","0","0","","","0","","","0","0","","","0","0","6.8614299999999275","IoT","0","0","1","0","0","0","0","0","0","0"
"15_1585147962150_202926422516877.bpmn","False","14","0","14","0","2","9","0","0","9","25","9","0","0.56","1","0","0","0","0","225","25","0.28888888888888886,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889","0.17777777777777776,-0.022222222222222213,-0.022222222222222213,-0.022222222222222213,-0.022222222222222213,-0.022222222222222213,-0.022222222222222213,-0.022222222222222213,-0.022222222222222213","9.25185853854297E-18","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1,1","1","1","30.52087399999982","","0","0","0","0","0","0","0","0","0","0"
"15_1596633881929_2622032266661419.bpmn","False","10","0","10","0","7","1","0","0","1","23","1","2","0.43478260869565216","0","0","0","0","0.2","0","0","","","0","","","0","0","","","0","0","14.641182999999728","Social Engagement","0","0","1","0","0","0","0","0","2","0"
"17_1585147756729_200211115341817.bpmn","False","12","0","12","0","2","7","0","0","7","21","7","0","0.5714285714285714","1","0","0","0","0","185","26.428571428571427","0.35135135135135137,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.10810810810810811","0.20849420849420852,-0.034749034749034735,-0.034749034749034735,-0.034749034749034735,-0.034749034749034735,-0.034749034749034735,-0.034749034749034735","1.58603289232165E-17","0,0,0,0,0,0,0","0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1","1,1,1,1,1,1,1","1","1","22.00955299999987","","0","0","0","0","0","0","0","0","0","0"
"18_1604681836240_194260212752817.bpmn","False","0","8","8","1","1","1","0","0","1","12","3","0","0.6666666666666666","2","0","0","0","0","52","17.333333333333332","1,0,0","0.6666666666666667,-0.3333333333333333,-0.3333333333333333","3.70074341541719E-17","0,0,0","0,0,0","0","0","1,2,1","1,2,1","1.3333333333333333","1.3333333333333333","16.023136000000704","Transport Management","8","8","1","0","0","0","0","0","0","0"
"18_1604768157717_323102213791726.bpmn","False","7","0","7","0","2","3","3","3","1","15","3","0","0.4666666666666667","0.6666666666666666","0","0","0","0","121","40.333333333333336","0.1652892561983471,0.512396694214876,0.32231404958677684","-0.1680440771349862,0.17906336088154268,-0.011019283746556474","0","0,0,0","0,0,0","0","0","0,1,1","1,1,0","0.6666666666666666","0.6666666666666666","12.618622999999388","Smart Farming","0","2","2","0","0","0","0","0","0","0"
"19_1585147687098_912311717153019.bpmn","False","11","0","11","0","2","6","0","0","6","19","6","0","0.5789473684210527","1","0","0","0","0","165","27.5","0.3939393939393939,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122","0.22727272727272727,-0.04545454545454544,-0.04545454545454544,-0.04545454545454544,-0.04545454545454544,-0.04545454545454544","9.25185853854297E-18","0,0,0,0,0,0","0,0,0,0,0,0","0","0","1,1,1,1,1,1","1,1,1,1,1,1","1","1","18.546889000000192","","0","0","0","0","0","0","0","0","0","0"
"19_1604769528558_102661742312719.bpmn","False","9","0","9","0","8","3","2","2","3","31","3","0","0.2903225806451613","1","0","0","0","0","199","66.33333333333333","0.33668341708542715,0.44221105527638194,0.22110552763819097","0.0033500837520938354,0.10887772194304862,-0.11222780569514235","3.70074341541719E-17","0,0,0","0,0,0","0","0","0,2,1","1,1,1","1","1","30.217287999999826","Healthcare","0","0","5","0","0","0","2","2","2","0"
"19_1604788471329_1026262612181331.bpmn","False","4","1","5","3","4","3","0","0","2","14","4","2","0.35714285714285715","0.25","0.3333333333333333","0.3333333333333333","0.25","0.4","105","52.5","0.580952380952381,0.41904761904761906","0.080952380952381,-0.08095238095238094","2.77555756156289E-17","0,0","0,0","0","0","0,1","1,0","0.5","0.5","20.81463900000017","IoT","1","1","0","0","0","0","0","0","0","0"
"21_1552924496358_162121152712730.bpmn","False","6","1","7","13","2","2","0","0","2","12","2","0","0.5833333333333334","0.5","0","0","0","0","57","28.5","0,1","-0.5,0.5","0","0,0","0,0","0","0","0,1","1,0","0.5","0.5","22.0647570000001","Supply Chain Management","0","0","0","0","0","0","0","0","0","0"
"21_1585159892398_237271410198297.bpmn","False","10","0","10","0","4","7","6","6","3","27","3","3","0.37037037037037035","2.6666666666666665","0","0","0","0.3","209","69.66666666666667","0.430622009569378,0.33014354066985646,0.23923444976076555","0.0972886762360447,-0.0031897926634768536,-0.09409888357256777","2.77555756156289E-17","0,0,0","0,0,0","0","0","1,2,1","2,1,1","1.3333333333333333","1.3333333333333333","37.68415600000026","Tourism","0","0","0","0","0","0","0","0","0","0"
"21_1589720443397_2328521017212426.bpmn","False","5","0","5","0","6","2","0","0","1","16","1","1","0.3125","0","0","0","0","0.2","0","0","","","0","","","0","0","","","0","0","15.132975000000442","Smart University","0","0","0","0","0","0","0","0","0","0"
"22_1552924503843_233226197151729.bpmn","False","4","0","4","0","0","3","10","10","4","17","5","0","0.23529411764705882","2","0","0","0","0","0","0","","","0","","","0","0","","","0","0","28.256397000000106","Supply Chain","2","1","0","0","0","0","0","0","0","0"
"22_1604788161633_929127112920275.bpmn","False","6","0","6","2","2","5","0","0","2","13","3","2","0.46153846153846156","0.6666666666666666","0","0.5","0.16666666666666666","0.3333333333333333","112","56","0.6339285714285714,0.36607142857142855","0.1339285714285714,-0.13392857142857145","-2.77555756156289E-17","0,0","0,0","0","0","1,1","1,1","1","1","24.842907999999625","IoT","0","0","0","0","0","0","0","0","0","0"
"23_1596633882421_2918614305341531.bpmn","False","6","0","6","0","2","3","0","0","1","11","2","3","0.5454545454545454","1","0","0","0","0.5","0","0","","","0","","","0","0","","","0","0","10.44936400000006","Purchase management","1","1","0","0","0","0","0","0","0","0"
"23_1596634924767_2217131205193319.bpmn","True","10","0","10","0","1","1","0","0","1","13","1","2","0.7692307692307693","0","0","0","0","0.2","0","0","","","0","","","0","0","","","0","0","13.841881999998805","Article Review","0","0","1","0","0","0","0","0","0","0"
"24_1552924500764_425164153152522.bpmn","False","47","16","63","0","37","16","31","31","5","128","5","5","0.4921875","5","0","0","0","0.07936507936507936","202","40.4","0.5148514851485149,0.12376237623762376,0,0,0.3613861386138614","0.31485148514851485,-0.07623762376237625,-0.2,-0.2,0.16138613861386136","-1.11022302462516E-17","0,0,0,0,0","0,0,0,0,0","0","0","1,0,0,0,1","1,1,0,0,1","0.4","0.6","103.36280700000134","Academics","11","16","0","16","0","4","0","0","0","0"
"24_1596633882239_321722323291725.bpmn","False","9","1","10","0","4","2","2","2","1","19","2","0","0.5263157894736842","1.5","0","0","0","0","80","40","0.4375,0.5625","-0.0625,0.0625","0","0,0","0,0","0","0","1,1","1,1","1","1","14.479409999999916","Shipping","1","2","1","0","0","0","0","0","0","0"
"24_1596634930885_211226109281728.bpmn","False","13","0","13","0","2","3","0","0","3","15","3","0","0.8666666666666667","2","0","0","0","0","129","43","0.1937984496124031,0.2868217054263566,0.5193798449612403","-0.1395348837209302,-0.046511627906976716,0.18604651162790703","3.70074341541719E-17","0,0,0","0,0,0","0","0","1,2,1","1,2,1","1.3333333333333333","1.3333333333333333","13.794065000000046","Healthcare","0","0","0","2","0","0","0","0","0","0"
"24_1604767841507_301925246101228.bpmn","False","6","0","6","0","2","4","2","2","1","13","2","0","0.46153846153846156","0.5","0","0","0","0","103","51.5","0.1941747572815534,0.8058252427184466","-0.3058252427184466,0.3058252427184466","0","0,0","0,0","0","0","0,1","1,0","0.5","0.5","9.913502999999764","Smart Farming","0","1","0","0","0","0","0","0","0","0"
"26_1592484625886_2261118819301929.bpmn","False","16","0","16","0","2","13","0","0","13","32","13","0","0.5","1","0","0","0","0","298","22.923076923076923","0.19463087248322147,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154,0.06711409395973154","0.11770779556014455,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383,-0.009808982963345383","-4.2700885562506E-18","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1,1,1,1,1,1","1","1","35.77894800000104","","0","0","0","0","0","0","0","0","0","0"
"26_1596633340119_122432155171133.bpmn","False","3","0","3","0","0","2","0","0","1","5","2","0","0.6","1","0","0","0","0","0","0","","","0","","","0","0","","","0","0","5.752485000000888","Supply Chain Management","1","1","0","0","0","0","0","0","0","0"
"27_1596634268269_328301053214517.bpmn","False","11","0","11","0","8","1","0","0","1","20","3","0","0.55","1","0","0","0","0","140","46.666666666666664","0.3,0.4714285714285714,0.22857142857142856","-0.033333333333333326,0.1380952380952381,-0.10476190476190475","9.25185853854297E-18","0,0,0","0,0,0","0","0","1,1,1","1,1,1","1","1","14.400165999999444","Driving License","2","2","0","0","1","0","0","0","0","0"
"28_1604787909865_155222814401876.bpmn","False","0","2","2","0","2","1","0","0","1","6","1","1","0.3333333333333333","0","0","0","0","0.5","0","0","","","0","","","0","0","","","0","0","6.910212999999203","IoT","2","2","0","0","0","0","0","0","0","0"
"29_1596631165632_1010241214323119.bpmn","False","6","0","6","0","4","2","4","4","2","18","2","0","0.3333333333333333","2.5","0","0","0","0","136","68","0.5073529411764706,0.49264705882352944","0.007352941176470562,-0.007352941176470562","0","0,0","0,0","0","0","1,1","1,1","1","1","18.973509999999806","Tourism","0","0","0","0","0","0","0","0","0","0"
"2_1596633882302_2123223284121616.bpmn","False","7","0","7","0","2","2","0","0","1","12","2","0","0.5833333333333334","0.5","0","0","0","0","88","44","0.7159090909090909,0.2840909090909091","0.21590909090909094,-0.21590909090909088","2.77555756156289E-17","0,0","0,0","0","0","0,1","1,0","0.5","0.5","9.138695999999982","Shipping","0","1","1","0","0","0","0","0","0","0"
"2_1596634932653_51523633201429310.bpmn","False","7","0","7","0","1","1","0","0","1","7","3","0","1","2","0","0","0","0","61","20.333333333333332","0.7540983606557377,0.18032786885245902,0.06557377049180328","0.42076502732240434,-0.1530054644808743,-0.26775956284153","0","0,0,0","0,0,0","0","0","2,1,2","2,2,1","1.6666666666666667","1.6666666666666667","8.471438999999009","Academics","2","2","1","1","0","0","0","0","0","0"
"2_1596634937415_42320111619321027.bpmn","False","5","0","5","0","4","1","0","0","1","12","1","2","0.4166666666666667","0","0","0","0","0.4","0","0","","","0","","","0","0","","","0","0","8.626502000000983","Software Engineering","0","0","0","0","0","0","0","0","0","0"
"2_1604769383374_9341483424203313.bpmn","False","12","0","12","0","4","3","1","1","2","23","3","0","0.5217391304347826","1","0","0","0","0","165","55","0.3393939393939394,0.509090909090909,0.15151515151515152","0.0060606060606061,0.17575757575757572,-0.1818181818181818","9.25185853854297E-18","0,0,0","0,0,0","0","0","1,1,0","0,1,1","0.6666666666666666","0.6666666666666666","24.290063000000373","Transport Management","0","1","3","0","0","0","0","0","0","0"
