"fileName","modelIsValidBPMN","modelTNT","modelTNCS","modelTNA","modelTNDO","modelTNG","modelTNEE","modelTNIE","modelTNSE","modelTNE","modelTNSF","modelNP","modelNL","modelCLA","modelCLP","modelPDOPin","modelPDOPout","modelPDOTOut","modelPLT","tapeGU","tapeALU","tapeRLU","tapeLUB","tapeAvgLUB","tapeDI","tapeDD","tapeAvgDI","tapeAvgDD","tapeMI","tapeMD","tapeAvgMI","tapeAvgMD","tapeExecutionTimeMs","applicationDomain","endEventRequiredErrors","startEventRequiredErrors","fakeJoinErrors","noDisconnectedErrors","superfluousGatewayErrors","subProcessBlankStartEventErrors","noGatewayJoinForkErrors","noImplicitSplitErrors","noInclusiveGatewayErrors","conditionalFlowErrors"
"38_1592484442144_201122411021117.bpmn","False","15","0","15","0","2","12","0","0","12","30","12","0","0.5","1","0","0","0","0","278","23.166666666666668","0.20863309352517986,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546","0.12529976019184652,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864,-0.011390887290167864","1.15648231731787E-18","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1,1,1,1,1","1","1","29.994794999998703","","0","0","0","0","0","0","0","0","0","0"
"39_1552924491557_2121141828295219.bpmn","False","4","1","5","3","2","2","0","0","1","10","2","2","0.5","1.5","0","0","0","0.4","66","33","1,0","0.5,-0.5","0","0,0","0,0","0","0","1,1","1,1","1","1","12.300696999998763","Request for Change Management","1","1","0","0","0","0","0","0","0","0"
"3_1552924497499_61418202614151013.bpmn","False","9","0","9","0","8","1","11","11","2","34","2","2","0.2647058823529412","2","0","0","0","0.2222222222222222","220","110","0.38636363636363635,0.6136363636363636","-0.11363636363636365,0.11363636363636365","0","0,0","0,0","0","0","1,1","1,1","1","1","35.60920199999964","Wireless Sensor Network","1","0","1","0","1","0","2","0","0","0"
"3_1596634267504_2924121201583318.bpmn","False","8","1","9","0","1","9","1","1","6","20","3","5","0.45","0.6666666666666666","0","0","0","0.5555555555555556","177","59","0.2598870056497175,0.4406779661016949,0.2994350282485876","-0.07344632768361581,0.10734463276836159,-0.03389830508474573","1.85037170770859E-17","0,0,0","0,0,0","0","0","1,1,0","0,1,1","0.6666666666666666","0.6666666666666666","27.367646999999124","Software Engineering","1","1","0","0","0","0","0","0","0","0"
"3_1596634934763_2410216283221617.bpmn","False","0","8","8","0","4","2","0","0","2","22","2","0","0.36363636363636365","4.5","0","0","0","0","98","49","0.5,0.5","0,0","0","0,0","0,0","0","0","1,1","1,1","1","1","15.719130999999834","Tourism","8","8","2","0","0","0","0","0","0","0"
"3_1604836540904_1316182614272921.bpmn","False","10","2","12","10","0","3","3","3","3","18","3","3","0.6666666666666666","2","0.3","0.4","0.4","0.25","148","49.333333333333336","0.42567567567567566,0.33783783783783783,0.23648648648648649","0.09234234234234234,0.004504504504504514,-0.09684684684684683","9.25185853854297E-18","0,0,0","0,0,0","0","0","2,1,1","2,1,1","1.3333333333333333","1.3333333333333333","40.64074400000027","Smart University","2","2","0","0","0","0","0","0","0","0"
"40_1596634934508_142178238311630.bpmn","False","16","1","17","9","3","1","0","0","1","23","1","3","0.7391304347826086","0","0","0","0","0.17647058823529413","0","0","","","0","","","0","0","","","0","0","23.244126999999935","Healthcare","1","1","0","0","0","0","0","0","0","0"
"40_1596634937467_192322229426267.bpmn","False","5","0","5","0","4","1","0","0","1","12","1","2","0.4166666666666667","0","0","0","0","0.4","0","0","","","0","","","0","0","","","0","0","9.019248999999036","Software Engineering","0","0","0","0","0","0","0","0","0","0"
"40_1604768446796_1881026349262029.bpmn","True","4","1","5","0","3","2","0","0","2","12","3","0","0.4166666666666667","1","0","0","0","0","14","4.666666666666667","1,0,0","0.6666666666666667,-0.3333333333333333,-0.3333333333333333","3.70074341541719E-17","0,0,0","0,0,0","0","0","0,0,0","0,1,1","0","0.6666666666666666","13.461357000000135","Tourism","0","0","1","0","0","0","0","0","0","0"
"40_1604836166660_261766416251321.bpmn","False","10","2","12","6","0","3","3","3","3","18","3","3","0.6666666666666666","2","0.3333333333333333","0.3333333333333333","0.2","0.25","153","51","0.5490196078431373,0.28104575163398693,0.16993464052287582","0.215686274509804,-0.052287581699346386,-0.1633986928104575","3.70074341541719E-17","0,0,0","0,0,0","0","0","2,1,1","2,1,1","1.3333333333333333","1.3333333333333333","30.877999999998792","Smart University","2","2","0","0","0","0","0","0","0","0"
"41_1596634928833_4222416101361032.bpmn","False","4","1","5","0","0","1","0","0","1","6","1","2","0.8333333333333334","0","0","0","0","0.4","0","0","","","0","","","0","0","","","0","0","5.952628000000914","Healthcare","1","1","0","0","0","0","0","0","0","0"
"42_1585147361498_1225142110193218.bpmn","False","8","0","8","0","2","3","0","0","3","13","3","0","0.6153846153846154","1","0","0","0","0","105","35","0.6190476190476191,0.19047619047619047,0.19047619047619047","0.28571428571428575,-0.14285714285714285,-0.14285714285714285","1.85037170770859E-17","0,0,0","0,0,0","0","0","1,1,1","1,1,1","1","1","11.860179999999673","","0","0","0","0","0","0","0","0","0","0"
"42_1596634937361_1829525276501220.bpmn","False","2","9","11","0","2","3","1","1","3","18","10","0","0.6111111111111112","2.5","0","0","0","0","94","9.4","0.2978723404255319,0.5212765957446809,0,0.18085106382978725,0,0,0,0,0,0","0.1978723404255319,0.4212765957446809,-0.1,0.08085106382978724,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1","1.38777878078145E-17","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0","0","1,4,1,4,1,1,1,2,2,1","1,5,1,4,1,1,1,2,1,1","1.8","1.8","22.08494900000005","Logistics","9","9","0","0","0","0","0","0","0","0"
"43_1596634924683_2871302333231433.bpmn","False","7","2","9","0","1","5","2","2","3","15","2","0","0.6","0.5","0","0","0","0","66","33","0.21212121212121213,0.7878787878787878","-0.28787878787878785,0.28787878787878785","0","0,0","0,0","0","0","1,0","0,1","0.5","0.5","12.695809999997437","Manufacturing","0","1","0","0","0","0","0","0","0","0"
"44_1552924496129_232617340218620.bpmn","False","1","4","5","0","2","4","3","3","2","16","2","2","0.3125","2.5","0","0","0","0.4","100","50","0.52,0.48","0.020000000000000018,-0.020000000000000018","0","0,0","0,0","0","0","1,1","1,1","1","1","19.518792000002577","Call Center","4","4","0","0","0","0","2","0","0","1"
"44_1592484729933_1912513410211727.bpmn","False","17","0","17","0","2","14","0","0","14","34","14","0","0.5","1","0","0","0","0","318","22.714285714285715","0.18238993710691823,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629,0.06289308176100629","0.1109613656783468,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135,-0.008535489667565135","2.9738116731031E-18","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1,1,1,1,1,1,1","1","1","41.18604100000084","","0","0","0","0","0","0","0","0","0","0"
"44_1596634927361_1433232449222919.bpmn","False","10","0","10","0","1","3","9","9","2","23","3","1","0.43478260869565216","3.6666666666666665","0","0","0","0.1","169","56.333333333333336","0.41420118343195267,0.35502958579881655,0.23076923076923078","0.08086785009861935,0.021696252465483234,-0.10256410256410253","1.85037170770859E-17","0,0,0","0,0,0","0","0","1,2,1","2,1,1","1.3333333333333333","1.3333333333333333","25.831245000001218","Product Purchase","0","1","1","0","0","0","0","0","0","0"
"44_1604790925746_342932291725245.bpmn","False","5","0","5","3","0","2","0","0","2","7","3","2","0.7142857142857143","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.2","0.4","66","33","0.5909090909090909,0.4090909090909091","0.09090909090909094,-0.09090909090909088","2.77555756156289E-17","0,0","0,0","0","0","1,1","1,1","1","1","15.233000000000175","IoT","0","0","0","0","0","0","0","0","0","0"
"45_1596633340020_818212016341125.bpmn","False","18","2","20","0","9","4","2","2","3","46","3","0","0.43478260869565216","1.6666666666666667","0","0","0","0","284","94.66666666666667","0.6126760563380281,0.15140845070422534,0.23591549295774647","0.2793427230046948,-0.18192488262910797,-0.09741784037558684","0","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","33.95783999999912","Healthcare","2","2","3","0","0","0","4","3","0","2"
"47_1585148022822_822711632214326.bpmn","False","15","0","15","0","2","10","0","0","10","27","10","0","0.5555555555555556","1","0","0","0","0","245","24.5","0.2653061224489796,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448","0.1653061224489796,-0.018367346938775522,-0.018367346938775522,-0.018367346938775522,-0.018367346938775522,-0.018367346938775522,-0.018367346938775522,-0.018367346938775522,-0.018367346938775522,-0.018367346938775522","-9.71445146547012E-18","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1,1,1","1","1","25.95115999999689","","0","0","0","0","0","0","0","0","0","0"
"47_1585148159330_112811328233127.bpmn","False","17","0","17","0","2","12","0","0","12","31","12","0","0.5483870967741935","1","0","0","0","0","285","23.75","0.22807017543859648,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122,0.07017543859649122","0.14473684210526316,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105,-0.013157894736842105","2.31296463463574E-18","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1,1,1,1,1","1","1","36.873342999999295","","0","0","0","0","0","0","0","0","0","0"
"49_1604787587618_221714411231816.bpmn","False","10","0","10","7","9","3","4","4","2","31","2","2","0.3225806451612903","1.5","0.2857142857142857","0.2857142857142857","0.2","0.2","204","102","0.44607843137254904,0.553921568627451","-0.053921568627450955,0.05392156862745101","2.77555756156289E-17","0,0","0,0","0","0","1,1","1,1","1","1","36.73360099999991","IoT","0","0","0","0","0","0","0","0","0","0"
"5_1585156903031_3331932321623230.bpmn","False","9","0","9","0","3","6","5","5","3","23","3","3","0.391304347826087","2.3333333333333335","0","0","0","0.3333333333333333","183","61","0.3989071038251366,0.3770491803278688,0.22404371584699453","0.0655737704918033,0.04371584699453551,-0.10928961748633878","9.25185853854297E-18","0,0,0","0,0,0","0","0","1,2,1","2,1,1","1.3333333333333333","1.3333333333333333","23.183209999999235","Tourism","0","0","0","0","0","0","0","0","0","0"
"5_1596634924832_4133334425331811.bpmn","True","6","0","6","0","1","1","0","0","1","9","1","2","0.6666666666666666","0","0","0","0","0.3333333333333333","0","0","","","0","","","0","0","","","0","0","6.641707000002498","Article Review","0","0","1","0","0","0","0","0","0","0"
"6_1552924493092_15620213013203215.bpmn","False","4","0","4","0","2","1","4","4","0","8","3","0","0.5","0.6666666666666666","0","0","0","0","62","20.666666666666668","0.3387096774193548,0.2903225806451613,0.3709677419354839","0.005376344086021501,-0.043010752688172005,0.03763440860215056","1.85037170770859E-17","0,0,0","0,0,0","0","0","1,1,0","0,1,1","0.6666666666666666","0.6666666666666666","14.336256000002322","Manufacturing","2","3","0","0","0","0","0","0","1","0"
"7_1552924493511_1331214163363428.bpmn","False","8","0","8","0","4","2","8","8","1","23","3","2","0.34782608695652173","1.6666666666666667","0","0","0","0.25","153","51","0.3464052287581699,0.6535947712418301,0","0.01307189542483661,0.32026143790849676,-0.3333333333333333","1.85037170770859E-17","0,0,0","0,0,0","0","0","1,1,1","1,2,0","1","1","20.14093700000012","Shipment","0","1","0","0","0","0","1","0","0","0"
"7_1589720341650_1781242843291319.bpmn","False","19","1","20","9","10","5","4","4","3","46","3","3","0.43478260869565216","4","0.3333333333333333","0.3333333333333333","0.15789473684210525","0.15","325","108.33333333333333","0.3384615384615385,0.2123076923076923,0.4492307692307692","0.0051282051282051655,-0.121025641025641,0.1158974358974359","1.85037170770859E-17","0,0,0","0,0,0","0","0","2,1,1","2,1,1","1.3333333333333333","1.3333333333333333","41.3464619999977","Smart Campus","1","1","0","0","0","0","0","0","0","0"
"9_1596634927412_41019341115142325.bpmn","False","5","0","5","0","2","1","0","0","1","9","1","3","0.5555555555555556","0","0","0","0","0.6","0","0","","","0","","","0","0","","","0","0","9.269672999998875","Healthcare","0","0","0","0","0","0","0","0","0","0"
